comparison_family,left_id,right_id,case_id,source_language,document_id,task_layer,field,comparable_count,exact_match_count,metric_name,metric_status,metric_value,metric_undefined_reason,cohens_kappa_status,cohens_kappa_value,cohens_kappa_undefined_reason
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,cmt,cmt.cluster_id,7,7,observed_agreement,defined,1.0,,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,cmt,cmt.conceptual_metaphor,7,0,observed_agreement,defined,0.0,,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,cmt,cmt.entailments,7,0,jaccard_overlap,defined,0.0,,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,cmt,cmt.source_domain_primary,7,5,observed_agreement,defined,0.7142857142857143,,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,cmt,cmt.source_domain_secondary,7,1,jaccard_overlap,defined,0.34523809523809523,,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,cmt,cmt.target_domain,7,5,observed_agreement,defined,0.7142857142857143,,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,cmt,confidence,7,0,mean_absolute_difference,defined,0.07142857142857144,,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,cmt,uncertainty.status,7,6,observed_agreement,defined,0.8571428571428571,,defined,0.7307692307692307,
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,identification,confidence,0,0,mean_absolute_difference,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,identification,identification.basic_meaning,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,identification,identification.boundary_decision,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,identification,identification.boundary_span,0,0,jaccard_overlap,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,identification,identification.comparison_basis,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,identification,identification.contextual_meaning,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,identification,identification.contrast_explanation,0,0,observed_agreement,undefined,,no comparable observations,undefined,,not applicable to this field type
model_vs_model,issue147-openai-cmt-final2-20260627,issue147-anthropic-cmt-final2-20260627,lincoln,en,,identification,identification.decision,0,0,observed_agreement,undefined,,no comparable observations,undefined,,fewer than two comparable observations
